Zip Code,City (City Alias Name(s)),County
77301,"CONROE (BEACH,CAMP STRAKE,CONROE,LAKELAND,TAMINA,)",MONTGOMERY
77302,CONROE,MONTGOMERY
77303,CONROE,MONTGOMERY
77304,CONROE,MONTGOMERY
77306,CONROE,MONTGOMERY
77316,MONTGOMERY,MONTGOMERY
77318,WILLIS,MONTGOMERY
77327,"CLEVELAND (CLARK,CLEVELAND,EVERGREEN,EVERITT,MIDLINE,NORTH CLEVELAND,PLUM GROVE,RAYBURN,SECURITY,TARKINGTON PRAIRIE,)",LIBERTY
77328,CLEVELAND,LIBERTY
77333,"DOBBIN (BOBVILLE,DOBBIN,)",MONTGOMERY
77336,HUFFMAN,HARRIS
77338,"HUMBLE (BORDERSVILLE,HUMBLE,)",HARRIS
77339,"KINGWOOD (HUMBLE,KINGWOOD,)",HARRIS
77345,"KINGWOOD (HUMBLE,KINGWOOD,)",HARRIS
77346,"HUMBLE (ATASCOCITA,HUMBLE,KINGWOOD,)",HARRIS
77354,MAGNOLIA,MONTGOMERY
77355,"MAGNOLIA (DECKER PRAIRIE,MAGNOLIA,)",MONTGOMERY
77356,MONTGOMERY,MONTGOMERY
77357,NEW CANEY,MONTGOMERY
77362,PINEHURST,MONTGOMERY
77365,"PORTER (DOGWOOD ACRES,PORTER,SORTERS,TIMBERLANE ACRES,WOODY ACRES,)",MONTGOMERY
77369,RYE,LIBERTY
77372,"SPLENDORA (PATTON,SPLENDORA,)",MONTGOMERY
77373,"SPRING (RAYFORD,SPRING,)",HARRIS
77375,"TOMBALL (ROSE HILL,TOMBALL,)",HARRIS
77377,TOMBALL,HARRIS
77378,WILLIS,MONTGOMERY
77379,"SPRING (KLEIN,SPRING,)",HARRIS
77380,SPRING,MONTGOMERY
77381,SPRING,MONTGOMERY
77382,SPRING,MONTGOMERY
77384,CONROE,MONTGOMERY
77385,CONROE,MONTGOMERY
77386,SPRING,MONTGOMERY
77388,SPRING,HARRIS
77389,"SPRING (KLEIN,SPRING,)",HARRIS
77396,HUMBLE,HARRIS
77401,BELLAIRE,HARRIS
77406,RICHMOND,FORT BEND
77417,BEASLEY,FORT BEND
77422,BRAZORIA,BRAZORIA
77423,BROOKSHIRE,WALLER
77429,CYPRESS,HARRIS
77430,DAMON,BRAZORIA
77433,CYPRESS,HARRIS
77441,FULSHEAR,FORT BEND
77444,GUY,FORT BEND
77445,HEMPSTEAD,WALLER
77446,PRAIRIE VIEW,WALLER
77447,HOCKLEY,HARRIS
77449,KATY,HARRIS
77450,KATY,HARRIS
77459,MISSOURI CITY,FORT BEND
77461,"NEEDVILLE (FAIRCHILDS,LONG POINT,NEEDVILLE,)",FORT BEND
77464,ORCHARD,FORT BEND
77466,PATTISON,WALLER
77469,"RICHMOND (BOOTH,CLODINE,CRABB,PLEAK,RICHMOND,ROSENBERG,)",FORT BEND
77471,ROSENBERG,FORT BEND
77476,SIMONTON,FORT BEND
77477,STAFFORD,FORT BEND
77478,SUGAR LAND,FORT BEND
77479,"SUGAR LAND (DEWALT,SUGAR LAND,)",FORT BEND
77480,"SWEENY (ASHWOOD,SUGAR VALLEY,SWEENY,)",BRAZORIA
77484,WALLER,HARRIS
77486,"WEST COLUMBIA (EAST COLUMBIA,WEST COLUMBIA,)",BRAZORIA
77489,MISSOURI CITY,FORT BEND
77492,KATY,HARRIS
77493,KATY,HARRIS
77494,KATY,FORT BEND
77498,Sugar Land,Fort Bend
77502,PASADENA,HARRIS
77503,"PASADENA (GOLDEN ACRES,PASADENA,)",HARRIS
77504,PASADENA,HARRIS
77505,PASADENA,HARRIS
77506,PASADENA,HARRIS
77510,"SANTA FE (ALTA LOMA,SANTA FE,)",GALVESTON
77511,ALVIN,BRAZORIA
77515,"ANGLETON (ANCHOR,ANGLETON,BAILEYS PRAIRIE,BONNEY,MCBETH,)",BRAZORIA
77517,"SANTA FE (ARCADIA,SANTA FE,)",GALVESTON
77518,BACLIFF,GALVESTON
77520,BAYTOWN,HARRIS
77521,BAYTOWN,HARRIS
77530,CHANNELVIEW,HARRIS
77531,CLUTE,BRAZORIA
77532,CROSBY,HARRIS
77533,DAISETTA,LIBERTY
77534,DANBURY,BRAZORIA
77535,DAYTON,LIBERTY
77536,DEER PARK,HARRIS
77538,DEVERS,LIBERTY
77539,DICKINSON,GALVESTON
77541,FREEPORT,BRAZORIA
77545,FRESNO,FORT BEND
77546,FRIENDSWOOD,GALVESTON
77547,GALENA PARK,HARRIS
77550,GALVESTON,GALVESTON
77551,GALVESTON,GALVESTON
77554,GALVESTON,GALVESTON
77561,HARDIN,LIBERTY
77562,HIGHLANDS,HARRIS
77563,HITCHCOCK,GALVESTON
77564,HULL,LIBERTY
77565,"KEMAH (CLEAR LAKE SHORES,KEMAH,CLEAR LK SHRS,)",GALVESTON
77566,LAKE JACKSON,BRAZORIA
77568,LA MARQUE,GALVESTON
77571,LA PORTE,HARRIS
77573,LEAGUE CITY,GALVESTON
77575,"LIBERTY (AMES,LIBERTY,MOSS BLUFF,MOSS HILL,)",LIBERTY
77577,LIVERPOOL,BRAZORIA
77578,MANVEL,BRAZORIA
77581,"PEARLAND (BROOKSIDE VILLAGE,PEARLAND,BROOKSIDE VL,)",BRAZORIA
77582,RAYWOOD,LIBERTY
77583,"ROSHARON (ARCOLA,IOWA COLONY,ROSHARON,SANDY POINT,)",BRAZORIA
77584,PEARLAND,BRAZORIA
77586,"SEABROOK (EL LAGO,SEABROOK,TAYLOR LAKE VILLAGE,TIMBER COVE,TOD,TAYLOR LK VLG,)",HARRIS
77587,SOUTH HOUSTON,HARRIS
77590,"TEXAS CITY (MESKILL,TEXAS CITY,WEST TEXAS CITY,)",GALVESTON
77591,TEXAS CITY,GALVESTON
77598,"WEBSTER (FONDREN,WEBSTER,)",HARRIS
77617,"GILCHRIST (CAPLEN,GILCHRIST,)",GALVESTON
77623,HIGH ISLAND,GALVESTON
77650,"PORT BOLIVAR (BOLIVAR,CRYSTAL BEACH,PORT BOLIVAR,)",GALVESTON
